Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Date
fragrance,Woody Eau de Parfum,52.77900376642626,18,293,3317.963971,Male,7,35,84,10,FedEx,4.601190451739991,Supplier A,Chennai,23,590,13,76.38152066349647,Pending,2.132196694297736,Road,Route F,239.72187931491572,03-01-18 13:38
bodycare,Foot Balm,99.17132864,21,782,1516.583868493888,Female,93,31,60,4,UPS,5.027120730716615,Supplier E,Kolkata,25,909,21,34.05751295826613,Pending,3.2273032184470694,Rail,Route E,414.2004915188194,03-01-18 15:00
wellness,Green Tea Pack,85.43139394955901,55,673,8367.400768,Non-binary,39,29,2,6,Delhivery,5.429782933060079,Supplier D,Pune,24,813,22,59.71395606147876,Pass,1.179766933362071,Air,Route E,419.4285162132955,03-01-18 20:14
haircare,Volumizing Spray,27.42554850461534,32,724,6732.505031209583,Male,49,33,68,2,UPS,5.396911705316001,Supplier A,Ahmedabad,31,568,30,1.08506857,Pass,1.4078974804309077,Sea,Route J,274.69961731805364,03-01-18 23:37
fragrance,Musk Noir,36.44831327344607,1,671,4486.560152,Unknown,36,40,52,7,DHL,9.240503413701504,Supplier E,Hyderabad,30,849,21,80.09384366265886,Fail,5.397887600640795,Air,Route J,118.85087985083447,04-01-18 8:13
grooming,Beard Shampoo,1.699976014,77,8,1061.618523,Male,34,41,85,8,Blue Dart,7.293336609212861,Supplier E,Chennai,30,299,17,34.15667861,Fail,4.892013531163471,Rail,Route H,736.7851682724358,04-01-18 16:39
fragrance,Rose Oud,64.03047433175692,22,8,7738.037329297293,Male,81,39,27,6,Blue Dart,2.0658049157625267,Supplier B,Mumbai,33,697,30,39.40153865331153,Pass,1.3185764999268255,Air,Route G,568.1724772490712,04-01-18 16:48
babycare,Baby Soap,35.696875281492325,1,514,9866.465458,Non-binary,55,25,61,3,FedEx,9.929816245,Supplier C,Bangalore,23,690,21,83.14494042539387,Pass,0.9515386197583824,Air,Route H,405.7349987110301,05-01-18 0:52
skincare,Sunscreen SPF 50,99.17132864,90,8,1444.840280744255,Unknown,13,20,81,3,Delhivery,7.219959542260743,Supplier C,Delhi,16,518,10,46.88742658320801,Pending,3.8269090151573195,Road,Route A,727.6401466384883,05-01-18 9:54
wellness,Aromatherapy Candle,48.68673524463392,60,214,6958.902016310858,Female,73,39,33,10,Delhivery,5.770638691963197,Supplier A,Ahmedabad,28,502,26,26.785196337263603,Pending,3.5491706785727075,Road,Route G,154.83202957539385,05-01-18 13:25
fragrance,Floral Perfume,59.90329804838963,45,204,7980.327881048295,Female,52,30,1,8,UPS,5.745475192875529,Supplier E,Hyderabad,22,270,9,88.37723393346275,Fail,3.8528764473305506,Rail,Route A,333.18285858731406,05-01-18 14:57
nailcare,Cuticle Oil,60.073447155570186,26,154,3874.236282972592,Unknown,73,6,70,4,FedEx,1.013486566,Supplier D,Ahmedabad,1,782,1,36.426847337605096,Pass,0.6355859586359687,Air,Route J,283.3333245768012,06-01-18 5:51
cosmetics,Setting Spray,1.699976014,49,649,6338.783463217868,Male,19,30,33,7,Delhivery,5.4756555370657845,Supplier C,Hyderabad,21,764,12,32.90954127600702,Pending,3.1606082464375085,Rail,Route H,479.4041301252105,06-01-18 23:32
fragrance,Musk Noir,55.33540927122505,43,453,7933.141328473213,Non-binary,5,25,30,6,DHL,4.841886809094789,Supplier D,Chennai,19,517,2,4.9126801052265705,Fail,2.4409841938753924,Air,Route J,230.3466210099841,07-01-18 1:57
skincare,Hyaluronic Acid Serum,1.699976014,12,645,7491.744699421646,Unknown,85,17,68,7,Delhivery,5.486452759964051,Supplier E,Kolkata,9,375,3,65.45517393424812,Pass,1.8728453741670166,Road,Route I,173.40721210840127,07-01-18 7:12
grooming,Deodorant Spray,5.462370378060882,48,526,2301.364979190332,Female,39,30,27,4,UPS,1.013486566,Supplier D,Kolkata,26,654,22,59.50624932206655,Fail,8.315646168425324,Sea,Route A,494.9265373740643,07-01-18 12:06
haircare,Hair Repair Oil,23.24088513038643,62,194,4065.738031251435,Female,39,24,26,3,Blue Dart,4.314534543811061,Supplier B,Bangalore,20,104,17,99.4661086,Pending,2.222397205989668,Rail,Route A,697.0864184454334,07-01-18 17:27
babycare,Baby Lotion,37.57889792498496,52,881,3880.3593844116,Non-binary,0,15,34,5,Blue Dart,2.4884270445794785,Supplier D,Ahmedabad,9,104,8,48.15734439588643,Pass,1.0292915126500162,Sea,Route J,546.7284734185745,07-01-18 18:35
fragrance,Amber Mist,82.89664551256726,64,281,5004.375259947214,Female,32,39,89,6,DHL,9.531871859145202,Supplier A,Delhi,33,173,30,36.1774606948596,Pass,1.9076599783549233,Road,Route H,944.922738,07-01-18 21:36
haircare,Hair Mousse,39.79464378025888,8,8,5761.883396158044,Male,36,38,42,9,UPS,2.338738252288618,Supplier C,Hyderabad,28,411,26,98.32941659138132,Pending,3.2848393357247083,Air,Route G,563.6716713,08-01-18 10:07
grooming,Aftershave Lotion,55.26211212087679,52,378,7558.761000113837,Female,58,25,53,6,UPS,1.3967814317250156,Supplier E,Mumbai,17,546,7,84.16257213308327,Pending,3.6890878339052,Road,Route C,319.72147072439736,08-01-18 10:59
fragrance,Musk Noir,14.152373941968577,71,996,7584.889348698229,Non-binary,61,25,77,6,UPS,8.943141899498613,Supplier C,Hyderabad,19,382,16,11.98826559539932,Fail,1.1450548345638012,Air,Route H,426.3495999335677,08-01-18 12:07
cosmetics,Eyeliner Pen,80.65202306803182,22,352,4546.035631,Unknown,68,36,37,8,Blue Dart,5.592013223749121,Supplier C,Bangalore,26,583,15,42.43313257743311,Pending,3.8168072041977257,Rail,Route F,544.3632072728612,08-01-18 14:34
nailcare,Quick Dry Spray,1.699976014,18,582,6303.361536185513,Female,22,27,1,7,DHL,6.876263516123028,Supplier E,Hyderabad,18,834,6,28.5735749518364,Pending,2.598977529118506,Rail,Route B,264.9605115,09-01-18 5:10
healthcare,Immune Booster,72.52516581,62,701,1061.618523,Non-binary,51,19,1,3,Delhivery,8.275910438075469,Supplier A,Mumbai,15,871,14,57.15861031018949,Pending,2.7901863578035746,Road,Route F,810.1708866185156,09-01-18 7:24
skincare,Vitamin C Serum,12.632925316916022,1,8,6119.836531024522,Male,62,25,74,7,FedEx,6.130644279536781,Supplier D,Kolkata,16,509,1,69.92333612854031,Pending,2.3794847689152956,Road,Route A,718.7175206,09-01-18 12:47
haircare,Hair Repair Oil,32.05733275036167,71,996,6535.884932050354,Female,17,36,78,8,Blue Dart,8.793594869195536,Supplier D,Delhi,27,258,22,60.46624059526968,Pass,1.4661511639049198,Road,Route F,467.74587395582233,10-01-18 1:08
fragrance,Woody Eau de Parfum,15.284778928046611,1,382,8397.040876030425,Male,5,37,72,8,FedEx,7.297877035515917,Supplier A,Kolkata,29,947,4,65.11496392028221,Pass,1.3168011528026926,Road,Route A,424.76370358946,10-01-18 5:44
skincare,Face Scrub,23.763918326740324,41,531,6547.200489663951,Non-binary,63,35,63,5,Delhivery,6.278985224275379,Supplier A,Kolkata,27,639,14,72.20629694263366,Fail,6.465030927707403,Sea,Route F,244.27508823065256,10-01-18 12:17
bodycare,After Shower Oil,73.97773399879026,1,8,7486.892730407219,Female,32,26,50,6,UPS,3.0099647465864177,Supplier E,Ahmedabad,18,891,16,45.81662944680018,Fail,4.573187621711417,Road,Route B,272.36527452741683,11-01-18 1:40
nailcare,Nail Polish Remover,35.55852221910846,1,179,5672.1293554532685,Female,62,36,62,7,Delhivery,3.4045614052930264,Supplier E,Chennai,28,859,20,70.30633402410226,Pass,0.5536275615492097,Road,Route A,479.68633628587895,11-01-18 4:01
fragrance,Rose Oud,56.91090215639165,92,217,6011.872117774407,Non-binary,91,29,45,5,Blue Dart,5.959209914708538,Supplier A,Ahmedabad,23,104,16,99.4661086,Pending,2.7764679982131275,Rail,Route G,482.68318949382535,11-01-18 6:02
healthcare,Zinc Tablets,72.02572190843114,48,455,7014.183281696438,Female,11,39,36,9,FedEx,6.846831259990638,Supplier D,Hyderabad,30,668,19,53.63682940392093,Fail,1.5945542472613936,Road,Route A,206.3475196448058,11-01-18 9:49
wellness,Yoga Mat Cleaner,17.445118346254148,57,594,5339.219891104753,Female,36,34,65,4,UPS,4.121518414333568,Supplier A,Ahmedabad,30,473,16,48.76041682927677,Fail,9.821746714430342,Sea,Route F,420.7193752853558,11-01-18 18:24
babycare,Baby Lotion,75.55908617661106,25,844,2668.4317124823174,Female,43,21,62,5,Delhivery,6.8450807747202616,Supplier E,Bangalore,11,972,8,67.55158279,Fail,6.2359121738126415,Air,Route C,938.6127961064728,11-01-18 22:19
wellness,Detox Tea,62.95309286093034,65,245,9866.465458,Non-binary,0,21,38,1,FedEx,5.099108551463163,Supplier C,Pune,21,706,11,23.728874604002204,Pass,1.9001612077414112,Sea,Route F,588.6929563708006,11-01-18 23:50
healthcare,Vitamin D Capsules,11.70997825300573,33,467,5808.154203217975,Non-binary,69,26,40,4,FedEx,5.837293272637422,Supplier B,Hyderabad,21,215,1,53.58970114183202,Pending,2.9629944240711703,Rail,Route G,721.1449986672843,12-01-18 9:23
fragrance,Oud Intense,10.369554554209884,58,381,6735.487211615391,Female,31,35,73,5,FedEx,7.064550248,Supplier A,Kolkata,29,546,27,16.418705813097098,Pass,1.9611484710503437,Sea,Route J,670.2899591409621,12-01-18 13:50
haircare,Hair Growth Serum,66.21850804010528,24,260,7760.446626382958,Non-binary,70,21,13,10,Blue Dart,4.813854427859953,Supplier B,Delhi,10,104,9,33.02059437015238,Pass,1.860606529226104,Air,Route D,674.5252832036832,12-01-18 15:59
grooming,Aftershave Lotion,23.164008525753413,100,831,8611.958456,Unknown,25,35,63,9,Blue Dart,5.725305037411187,Supplier E,Pune,24,243,2,72.47720131865721,Pending,3.036811046170228,Road,Route I,103.916248,12-01-18 20:21
nailcare,Nail Polish Remover,52.78870077491192,57,670,3240.612018660405,Female,0,29,45,2,Delhivery,7.438682133516727,Supplier B,Kolkata,25,543,22,48.45008897,Pending,2.0477859220311734,Rail,Route D,537.4128800180943,12-01-18 21:56
haircare,Coconut Hair Mask,92.70680167399324,10,267,5440.513878277187,Female,19,38,1,10,DHL,9.929816245,Supplier A,Mumbai,28,609,23,73.03890122418444,Fail,1.2246253883947134,Road,Route A,492.6343524744447,13-01-18 7:00
babycare,Baby Bubble Bath,93.45889335,47,221,2202.7018308073507,Unknown,22,29,29,2,UPS,4.795946863895351,Supplier E,Ahmedabad,27,245,5,32.63069958512214,Fail,3.4057112405524905,Road,Route C,148.6006150172579,14-01-18 8:53
babycare,Baby Powder,4.898935283555552,58,593,7869.395153736739,Male,0,36,77,7,DHL,7.5603795999411325,Supplier A,Ahmedabad,30,700,9,24.99794425707668,Pass,1.6169005647111652,Sea,Route F,103.916248,14-01-18 15:43
grooming,Trimmer Set,36.83342948,44,376,4930.935884795136,Male,76,32,54,2,UPS,8.044587639440103,Supplier C,Ahmedabad,30,985,10,40.45028924,Pass,1.1781296969033441,Sea,Route A,103.916248,15-01-18 9:46
nailcare,French Manicure Kit,43.53755560559723,46,212,1666.1699951516184,Female,37,38,57,10,FedEx,4.499421439289316,Supplier D,Delhi,26,752,16,55.99707247867565,Pending,3.218673167995542,Road,Route D,404.1209249492623,15-01-18 10:29
wellness,Detox Tea,36.32226882534656,46,349,9866.465458,Unknown,0,23,66,6,Blue Dart,1.6458242549735074,Supplier E,Pune,15,729,12,21.69313048869062,Pending,2.1446435304269813,Air,Route G,629.0071217360618,15-01-18 11:05
skincare,Anti-Aging Cream,30.283583899548248,32,393,5271.717086,Male,33,44,41,7,FedEx,5.203952879868529,Supplier D,Mumbai,33,985,30,35.020902065430064,Fail,6.611561810264755,Road,Route I,707.7713006086992,15-01-18 12:06
bodycare,Coconut Body Butter,29.843193538324083,10,366,1061.618523,Female,6,36,23,5,Blue Dart,3.167552482223285,Supplier C,Delhi,30,539,25,59.29645604,Pass,1.6088340006069166,Air,Route B,105.34819085370516,16-01-18 0:48
skincare,Face Scrub,43.718114967507134,72,332,3706.400235002699,Non-binary,15,24,55,4,Delhivery,7.117916814349816,Supplier E,Mumbai,18,381,10,86.59982877149179,Pending,3.447071088541468,Rail,Route A,459.5581510208575,16-01-18 3:49
wellness,Essential Oil Set,46.68518003537645,37,199,7818.545255969429,Unknown,51,24,45,6,UPS,2.5041827581200544,Supplier D,Pune,18,896,18,45.54734475790558,Pass,1.6090288714435093,Sea,Route F,709.1089926973389,16-01-18 7:53
babycare,Diaper Cream,61.12160020457412,24,856,9061.998450681544,Male,65,30,25,4,DHL,6.581965674693079,Supplier D,Chennai,26,726,24,69.01847177951763,Fail,3.179635939161576,Air,Route F,220.22503978625605,16-01-18 8:04
wellness,Relaxation Balm,99.17132864,20,294,5925.816140047457,Unknown,86,40,52,8,Delhivery,1.013486566,Supplier D,Kolkata,32,528,30,70.02509174,Fail,6.023502133636524,Rail,Route A,189.0521661362341,16-01-18 10:26
wellness,Massage Oil,1.699976014,83,607,6682.333404737799,Male,44,16,49,5,Delhivery,9.929816245,Supplier A,Kolkata,11,578,2,21.74866498091473,Pass,1.5890016733220755,Sea,Route B,768.7748418428735,16-01-18 22:47
wellness,Sleep Spray,27.08199275706999,35,577,8249.889231472982,Non-binary,0,39,57,5,FedEx,3.0351790245408363,Supplier B,Chennai,30,913,16,41.378837279318425,Fail,5.449584749968144,Air,Route C,515.1032758029298,17-01-18 0:40
nailcare,Base Coat,54.45288317478004,44,996,3051.9826540482622,Unknown,72,27,67,10,Blue Dart,6.750352710922391,Supplier E,Mumbai,18,335,16,85.65637784810188,Pass,1.0632065292513693,Rail,Route I,455.38848466553833,17-01-18 8:23
healthcare,Zinc Tablets,48.58888424680275,48,286,9008.103501,Male,92,25,30,7,DHL,5.635565043725927,Supplier C,Mumbai,18,542,15,64.51997400911027,Fail,7.183566071626492,Sea,Route F,230.0599223190086,17-01-18 8:31
wellness,Protein Shake,31.55088532128272,44,21,4736.406558902831,Male,51,34,1,5,DHL,6.933023213570613,Supplier D,Chennai,30,338,11,24.68967057825001,Pass,1.1144551291216618,Rail,Route G,594.2183044312784,17-01-18 18:07
healthcare,Herbal Tea,58.38730092293611,44,187,6271.210478144894,Male,94,37,42,7,Delhivery,4.436723394593825,Supplier B,Ahmedabad,30,253,1,20.907007073038542,Fail,2.4993974732463755,Rail,Route I,580.0930452,17-01-18 22:35
babycare,Baby Wipes,51.04583411659978,57,920,5876.545166747849,Unknown,65,26,56,3,UPS,4.551854260291466,Supplier E,Pune,21,647,19,6.26862511790246,Pending,2.732247514479574,Road,Route F,465.0493734151981,17-01-18 22:45
wellness,Relaxation Balm,66.87042448577999,60,480,9866.465458,Unknown,38,36,75,6,DHL,4.405716791,Supplier D,Kolkata,26,104,25,44.35801363143949,Fail,6.479909733010363,Road,Route G,290.34949686000084,18-01-18 1:02
skincare,Sunscreen SPF 50,56.01463347800959,48,438,1061.618523,Male,12,24,61,5,Blue Dart,4.0985141175410185,Supplier E,Ahmedabad,18,590,17,44.42086837869794,Pass,1.1512637813290003,Road,Route F,997.4134501,18-01-18 6:49
skincare,Vitamin C Serum,46.12543526689208,44,478,3260.1234992140644,Female,19,28,52,3,FedEx,6.691093120213554,Supplier D,Pune,26,428,23,5.941853973306152,Pass,1.5891912795463288,Road,Route I,523.0233782673995,18-01-18 8:52
grooming,Shaving Cream,17.772872125206252,50,153,9866.465458,Non-binary,1,27,42,7,FedEx,5.07429364828486,Supplier A,Mumbai,19,411,16,6.196278028728123,Pass,1.5835871556207213,Air,Route H,576.1498119762775,19-01-18 14:39
skincare,Retinol Night Cream,24.036154729979167,1,252,4254.743201033279,Unknown,8,29,58,8,Delhivery,1.013486566,Supplier E,Bangalore,20,761,7,47.02290858008099,Pass,0.5443357342308699,Rail,Route H,392.89859150268273,19-01-18 18:03
nailcare,Nail Polish Remover,78.68128737455862,45,203,6365.523205315605,Female,63,34,17,6,Delhivery,1.013486566,Supplier A,Delhi,29,985,21,22.9306293018432,Pass,1.273664239477761,Road,Route B,103.916248,19-01-18 18:43
skincare,Brightening Toner,6.337208748541791,90,996,7412.116779635358,Non-binary,25,4,65,1,Delhivery,4.140118039413245,Supplier B,Mumbai,3,985,2,89.20132954830811,Pass,0.7321840517799705,Road,Route I,513.0968567,19-01-18 22:37
wellness,Herbal Supplement,29.08835043535902,66,951,4885.035170212882,Male,74,32,43,1,FedEx,1.013486566,Supplier B,Ahmedabad,29,845,23,72.45783871857176,Pending,3.00214687263852,Air,Route G,688.6123215424273,19-01-18 23:08
grooming,Hair Wax,47.72919669868554,11,588,1061.618523,Non-binary,45,22,96,6,UPS,5.922528340381675,Supplier D,Mumbai,15,858,12,85.46238184590352,Pending,3.949072163339496,Rail,Route B,672.1043973366222,20-01-18 1:02
fragrance,Floral Perfume,77.96977445034369,97,54,6192.180214963761,Non-binary,60,18,35,7,FedEx,8.735417748891448,Supplier B,Mumbai,11,745,6,94.36810852725144,Pass,0.8772796702289989,Road,Route B,657.6194120454779,20-01-18 9:44
nailcare,Cuticle Oil,1.699976014,56,334,7414.705558514709,Unknown,31,42,40,9,DHL,5.964487914277312,Supplier A,Delhi,30,548,1,48.565264218772455,Fail,4.449509955089837,Road,Route J,922.5636709534516,20-01-18 10:11
healthcare,Pain Relief Gel,37.96610868704755,24,363,5934.002445729578,Male,42,29,83,6,DHL,3.2336446269269303,Supplier D,Delhi,22,694,20,96.28919168382312,Pending,3.928420922959851,Air,Route E,997.4134501,20-01-18 15:55
grooming,Face Wash for Men,60.05661173146402,65,290,9404.400269629838,Non-binary,88,36,36,6,Blue Dart,2.845421190816824,Supplier B,Ahmedabad,30,799,27,54.56655743010414,Fail,3.577146650790729,Road,Route A,700.470828,20-01-18 17:28
cosmetics,Waterproof Mascara,60.57761029102163,90,347,3678.753816833713,Unknown,37,28,19,1,Delhivery,5.760149019230741,Supplier C,Kolkata,27,447,1,64.53104123188568,Fail,9.872034288218352,Sea,Route F,771.994775,20-01-18 21:59
healthcare,Immune Booster,14.633793053841352,80,395,3246.248287716044,Unknown,66,30,46,7,Delhivery,6.923468378576118,Supplier A,Kolkata,23,809,9,30.814390979447204,Fail,9.89156291386535,Rail,Route J,508.7022316970041,21-01-18 6:07
haircare,Argan Oil Shampoo,80.07815427706137,7,8,7022.484075881752,Non-binary,79,34,24,7,Blue Dart,5.487948467,Supplier D,Hyderabad,27,681,25,32.40054091069661,Fail,9.297633647354202,Rail,Route G,856.3821714728945,21-01-18 10:24
fragrance,Rose Oud,60.11395048418572,53,124,5744.849493,Male,17,25,23,2,Delhivery,3.732016930303716,Supplier D,Hyderabad,24,675,13,1.08506857,Pass,1.270246970500799,Air,Route H,773.0929016189232,21-01-18 22:35
skincare,Face Cleanser,81.71158066484057,12,586,3698.0925912984335,Unknown,31,21,14,5,FedEx,8.521994332243345,Supplier A,Kolkata,16,985,15,13.808806573543258,Fail,6.022210289619331,Air,Route J,545.3272287,22-01-18 4:43
haircare,Dry Shampoo,66.31413327286188,32,490,2420.600589748825,Male,41,32,34,2,FedEx,6.372280960417898,Supplier E,Pune,30,156,28,21.08330146590708,Fail,6.43014417355476,Rail,Route F,218.17324451425128,22-01-18 22:28
bodycare,Coconut Body Butter,53.78298761,59,525,9866.465458,Female,75,37,35,5,UPS,9.929816245,Supplier A,Ahmedabad,33,927,30,56.27965737493553,Pass,0.6183333484336145,Sea,Route B,564.1147368515229,23-01-18 3:45
nailcare,Quick Dry Spray,81.49681717094776,34,455,9866.465458,Unknown,62,35,1,8,FedEx,4.216348336,Supplier E,Pune,25,863,22,12.5579564958285,Pending,3.24744972639124,Sea,Route F,178.51034515619773,23-01-18 12:51
healthcare,Cough Syrup,48.65146176676568,19,121,7027.923993008415,Non-binary,61,36,73,6,DHL,1.3861083682217687,Supplier B,Chennai,30,597,15,57.823612757343895,Fail,1.695340785485417,Sea,Route B,490.27232548578775,24-01-18 0:35
haircare,Volumizing Spray,69.85572460419925,55,8,9866.465458,Unknown,42,29,40,6,UPS,3.1932653946313447,Supplier D,Kolkata,21,311,19,95.42297618081017,Pending,2.3978344019082547,Rail,Route E,776.1013008285965,24-01-18 3:58
nailcare,Nail Polish Red,24.08660938346496,42,522,4811.134750636068,Non-binary,54,22,34,3,FedEx,9.929816245,Supplier B,Pune,19,393,16,93.44504805755844,Pass,1.6792677256840427,Air,Route H,224.9183351241303,24-01-18 8:10
cosmetics,Matte Lipstick,40.29304554064903,37,234,2952.0057726060186,Male,75,17,33,2,Blue Dart,1.013486566,Supplier B,Kolkata,15,465,12,25.957219138739266,Fail,7.387010771989097,Road,Route I,951.5971769120404,24-01-18 10:56
skincare,Vitamin C Serum,78.44375938314384,30,397,3837.789562264223,Male,19,23,57,1,DHL,6.123576629457155,Supplier E,Bangalore,21,985,18,34.536994580691655,Pending,3.7840222575958142,Road,Route F,771.4064570075717,24-01-18 11:27
nailcare,Base Coat,9.880625355147188,65,771,2363.2836058168155,Male,44,20,59,8,Blue Dart,9.744895674,Supplier C,Pune,11,276,4,50.23560842985458,Pass,1.1541846929890842,Sea,Route G,147.0642644350878,24-01-18 11:33
skincare,Hyaluronic Acid Serum,1.699976014,59,301,5116.4257688670605,Female,35,31,51,7,DHL,2.2764149425088607,Supplier B,Delhi,23,501,22,46.946286888489205,Pending,3.9880253694933026,Air,Route I,792.3944346385388,24-01-18 23:18
skincare,Anti-Aging Cream,70.69360315148916,84,461,1061.618523,Female,79,13,85,4,Delhivery,4.347882768327305,Supplier B,Delhi,9,314,8,27.29082328568348,Pass,1.7007880109960376,Road,Route F,398.74008915949696,25-01-18 1:26
wellness,Green Tea Pack,29.24944909686813,37,348,7000.082177876454,Unknown,50,40,40,5,UPS,8.337409665261553,Supplier B,Pune,33,554,30,65.96936078169263,Pending,3.6312870350180573,Air,Route F,468.8232449527846,25-01-18 5:42
nailcare,Nail Strengthener,99.17132864,32,498,5434.929281,Female,67,26,40,4,UPS,5.775213951949613,Supplier B,Delhi,19,571,3,26.326565905812007,Fail,6.451989909722394,Road,Route G,997.4134501,27-01-18 12:24
healthcare,Pain Relief Gel,55.364704611210286,76,128,6836.323839686975,Male,60,34,52,2,UPS,2.177965034010693,Supplier C,Hyderabad,32,885,30,92.26163196293558,Fail,9.344867709579578,Road,Route E,103.916248,27-01-18 20:50
bodycare,Body Wash,40.99855017235798,26,644,6015.114856826516,Unknown,40,35,57,9,Delhivery,6.146300509,Supplier D,Mumbai,26,422,11,82.45122638708685,Fail,2.5799950315015163,Road,Route J,522.0347655316214,28-01-18 4:56
healthcare,Immune Booster,42.28761128571035,64,8,3899.656921083439,Non-binary,35,26,44,7,Delhivery,9.443084502111695,Supplier B,Pune,19,429,8,59.29687129543235,Fail,8.608838746103721,Rail,Route J,329.3866221876131,28-01-18 8:38
bodycare,Body Scrub,99.17132864,80,573,5332.072590218627,Female,39,34,41,8,FedEx,3.922351676400051,Supplier E,Hyderabad,22,168,3,50.69591506938722,Fail,6.006096387572612,Sea,Route F,396.09635156570926,29-01-18 5:51
babycare,Baby Shampoo,5.257902281872795,80,314,4715.113457316045,Female,43,19,96,7,UPS,5.336484246823478,Supplier A,Delhi,8,958,7,17.63531343301342,Fail,6.094618840467706,Road,Route B,103.916248,29-01-18 9:51
bodycare,Shea Butter Lotion,14.583388338669993,45,340,4117.648896192053,Non-binary,75,39,71,5,UPS,7.961370473141857,Supplier D,Pune,33,564,30,46.09049226255711,Pass,0.981977275390737,Road,Route B,477.2160174719553,29-01-18 11:49
babycare,Gentle Moisturizer,99.17132864,59,751,3154.7083203781467,Non-binary,29,32,79,10,Delhivery,9.518293586889731,Supplier D,Hyderabad,19,772,8,68.27153807683501,Fail,5.2121355030276355,Sea,Route D,772.6926376241626,29-01-18 17:56
cosmetics,Blush Palette,54.151589963796695,35,490,3992.488075670093,Male,5,27,96,3,DHL,5.842215330631381,Supplier E,Kolkata,23,281,13,55.15473238790439,Pass,1.1335090181149745,Sea,Route B,586.2265460636602,29-01-18 21:37
babycare,Tear-Free Shampoo,64.85403009977489,69,8,5396.166183537371,Unknown,44,36,48,10,Delhivery,2.308925264561861,Supplier D,Delhi,24,613,22,32.22575906350164,Pending,2.112378025306345,Sea,Route H,437.8155428809296,29-01-18 21:44
babycare,Infant Oil,74.88717846796824,60,363,3504.747333879826,Female,67,26,51,5,DHL,7.272908607386236,Supplier D,Delhi,21,632,9,52.79915703224742,Fail,8.617321147790612,Road,Route B,896.2171546473505,30-01-18 0:52
wellness,Herbal Supplement,80.41403665,24,79,5133.846701,Male,5,37,55,10,UPS,6.575803798,Supplier C,Chennai,27,523,17,28.69699682,Pass,1.401370666210251,Air,Route E,879.3592177,30-01-18 11:25
wellness,Green Tea Pack,64.03330072849626,95,544,4695.690758514362,Non-binary,93,30,22,5,Delhivery,3.452534233,Supplier C,Ahmedabad,26,932,25,1.08506857,Pass,1.492114935715128,Air,Route H,550.0704807130891,30-01-18 13:13
